r,fidelity_0,fidelity_1,fidelity_2,fidelity_3,fidelity_4,fidelity_5,fidelity_6,fidelity_7,fidelity_8,fidelity_9,fidelity_10,fidelity_11,fidelity_12,fidelity_13,fidelity_14,fidelity_15,success_prob
0,0.9904245377950468,2.8341262837873426e-31,2.939525809259471e-32,0.0006974152223092826,1.5300384933579795e-31,2.566301650895993e-32,7.080801811161197e-33,0.0002683652744834064,0.00716656207464684,1.3077432252121139e-31,1.1462292434642157e-32,1.1675950287847616e-33,0.0010403719683885026,1.3255814695352766e-32,6.164480454808206e-33,0.0004027476651241502,0.8213103213841318
1,0.3831002721351278,0.30682089969544235,5.827547215988228e-31,0.1824165559524452,0.02459357652391782,3.8440546062850117e-32,1.2327644355943494e-32,0.009017754747907121,0.007447540875575496,0.06619149489359832,0.0009841215278670746,1.3357001249071552e-32,0.006149780089494605,0.004463605887967629,1.4603401419135448e-32,0.008814397670656114,0.8848480789846115
2,0.04994763411822569,0.4577361632760458,2.7810447204861303e-31,0.29319769462020345,0.03669036030618639,1.0141224863414039e-33,9.455864637110614e-33,0.016968091508129193,0.009375468409638502,0.09874894749404818,0.0014681790347736466,1.0728106874982977e-31,0.011151476381342871,0.006659109061875426,5.119983194441555e-32,0.018056875789530455,0.8486889124544816
3,0.8509584185277811,0.06256377576588776,9.540876388562081e-32,0.04746441708640391,0.005014870266174628,4.9622788723352374e-33,3.514822148506705e-33,0.0037076494294171042,0.008036171397744481,0.013497091783000011,0.00020067198374352366,1.3656799328305273e-32,0.003211724139991536,0.0009101728016549904,3.0401105098706325e-33,0.004435036818200418,0.8057292390283747
4,0.7112299830869596,0.1452279232602711,5.831836242226074e-31,0.0815699883830627,0.01164090858105317,4.491704973814061e-32,7.974553675978398e-34,0.003533654459959024,0.0068696125885466175,0.03133050372524177,0.0004658154834619396,2.5552426000434557e-32,0.0028609911769292293,0.002112764202195204,5.636730511063032e-34,0.0031578550523187064,0.8663366398708013
5,0.01423399536186654,0.4812143245784189,1.109879196554868e-31,0.30041564495594386,0.038572278901705635,8.155861924649228e-33,1.7350296618136964e-33,0.016497973167452246,0.00883767842125027,0.1038139694514821,0.0015434847391612484,3.605852431034383e-33,0.010764779015629156,0.007000667473091665,8.044236981095141e-32,0.01710520393399771,0.8748048048965031
